City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Waingapu,ID,79.74,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
116,Adrar,MR,78.31,broken clouds,20.5022,-10.0711,
127,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
130,Meulaboh,ID,78.13,overcast clouds,4.1363,96.1285,Kost Pria
134,Hithadhoo,MV,83.64,broken clouds,-0.6,73.0833,Scoop Guest House
135,Flinders,AU,78.01,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
136,Butaritari,KI,82.2,light rain,3.0707,172.7902,Isles Sunset Lodge
139,Bahia Honda,CU,75.56,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
140,Harper,LR,78.31,broken clouds,4.375,-7.7169,Screensaver
145,Ternate,ID,84.27,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
151,Hithadhoo,MV,83.64,broken clouds,-0.6,73.0833,Scoop Guest House
152,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
164,Sokolo,ML,81.27,few clouds,14.7328,-6.1219,
169,Cabo San Lucas,MX,80.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
172,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
173,Bosaso,SO,78.98,scattered clouds,11.2842,49.1816,Red Sea Hotel
181,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
182,Sapouy,BF,75.63,clear sky,11.5544,-1.7736,Auberge St Louis
184,Taoudenni,ML,82.29,scattered clouds,22.6783,-3.9836,
186,Lufilufi,WS,89.6,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
187,Niltepec,MX,78.96,scattered clouds,16.5667,-94.6167,Pinturas Rupestres
194,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
195,Bac Lieu,VN,86.95,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
196,Santa Ana,US,79.0,scattered clouds,33.7456,-117.8678,Santa Ana Travel Inn
216,Manggar,ID,83.64,overcast clouds,-2.8833,108.2667,Guest Hotel
219,Kavieng,PG,84.45,light rain,-2.5744,150.7967,Nusa Island Retreat
225,Faanui,PF,82.63,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
227,Henderson,US,75.2,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
231,Codrington,AU,84.09,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
241,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
242,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
245,Lorengau,PG,82.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
247,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
249,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
250,Butaritari,KI,82.2,light rain,3.0707,172.7902,Isles Sunset Lodge
251,Butaritari,KI,82.2,light rain,3.0707,172.7902,Isles Sunset Lodge
252,Carnarvon,AU,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
253,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
