City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
688,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
701,Gigmoto,PH,84.88,few clouds,13.7796,124.39,Cj's Travellers Inn
707,Maragogi,BR,78.42,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
708,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
709,Codrington,AU,85.48,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
710,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
715,Pochutla,MX,82.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
718,Kupang,ID,80.6,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
719,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
720,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
721,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
722,Hobyo,SO,80.6,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
723,Puerto Narino,CO,77.0,clear sky,-3.7703,-70.3831,Eware Refugio Amazonico
732,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
733,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
739,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
743,Mogadishu,SO,80.94,broken clouds,2.0371,45.3438,Olympic Hotel
744,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
754,Veraval,IN,79.25,scattered clouds,20.9,70.3667,Lords Inn Somnath
759,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
764,Moerai,PF,80.55,clear sky,-22.4333,-151.3333,Le Manotel
767,Keshabpur,BD,89.46,clear sky,22.9183,89.2112,MD. Anwar Hossain
769,Sabang,ID,82.54,light rain,5.8933,95.3214,Hotel Citra
772,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
775,Mogadishu,SO,80.94,broken clouds,2.0371,45.3438,Olympic Hotel
777,Poum,NC,78.12,moderate rain,-20.2333,164.0167,Gîte kajeon
787,Ceres,US,80.6,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
788,Arraial Do Cabo,BR,75.97,few clouds,-22.9661,-42.0278,Pousada Porto Praia
789,Blythe,US,86.0,few clouds,33.6103,-114.5964,Rodeway Inn & Suites
797,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
799,Gorontalo,ID,89.1,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
801,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
803,Flinders,AU,78.01,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
805,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
809,Bontang,ID,84.7,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
811,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
812,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
823,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
834,Acarau,BR,76.57,few clouds,-2.8856,-40.12,castelo pizzaria
836,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
839,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
845,Lorengau,PG,82.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
846,Poum,NC,78.12,moderate rain,-20.2333,164.0167,Gîte kajeon
849,Banda Aceh,ID,82.42,overcast clouds,5.5577,95.3222,Sulthan Hotel International
855,Nikki,BJ,77.16,broken clouds,9.9401,3.2108,Hotel John
857,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
861,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
862,La Palma,US,77.0,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
865,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
866,Marovoay,MG,75.2,few clouds,-16.1,46.6333,
867,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
869,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
872,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
875,Itoman,JP,77.0,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
879,Cayenne,GF,80.01,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
884,Arraial Do Cabo,BR,75.97,few clouds,-22.9661,-42.0278,Pousada Porto Praia
889,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
890,Moss Vale,AU,78.8,broken clouds,-34.55,150.3833,Peppers Manor House
893,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
895,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
906,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
907,Adrar,MR,77.7,broken clouds,20.5022,-10.0711,
916,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
918,Myitkyina,MM,86.36,clear sky,25.3833,97.4,Shwe Phyu Hotel
919,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
922,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
924,Victoria,HK,84.0,clear sky,22.2855,114.1577,Mini Hotel Central
935,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
937,Santa Rosa,PH,89.6,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
941,Labuhan,ID,81.95,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
942,Sinnamary,GF,77.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
945,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
950,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
952,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
955,Victoria,HK,84.0,clear sky,22.2855,114.1577,Mini Hotel Central
958,Raga,SS,76.01,scattered clouds,8.4596,25.678,
961,Qui Nhon,VN,83.91,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
972,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
973,Bahia Honda,CU,75.36,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
977,Mount Gambier,AU,87.8,clear sky,-37.8333,140.7667,Commodore on the Park
979,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
983,Kontagora,NG,77.38,few clouds,10.3999,5.4695,Queens Guest Inn
985,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
989,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
992,Pipri,IN,75.2,haze,19.8,75.5333,Sukhana River nilu and rushi home
993,Kralendijk,BQ,78.8,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
997,Kalmunai,LK,81.99,broken clouds,7.4167,81.8167,VS Villa
1000,Carnarvon,AU,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
1002,Angoche,MZ,75.92,broken clouds,-16.2325,39.9086,Guest House HESADA
1005,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1007,Victoria,HK,84.0,clear sky,22.2855,114.1577,Mini Hotel Central
1010,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
1011,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
1017,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
1019,Puerto Baquerizo Moreno,EC,77.92,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
1025,Cabo San Lucas,MX,80.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1026,Vanimo,PG,80.51,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
1032,Yaan,NG,77.0,broken clouds,7.3833,8.5667,
1034,Itarema,BR,76.15,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1035,Lakatoro,VU,85.6,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
1037,Victoria,HK,84.0,clear sky,22.2855,114.1577,Mini Hotel Central
1039,Karangasem,ID,84.2,moderate rain,-8.45,115.6167,Villa Campuhan
1041,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1043,Victoria,HK,84.0,clear sky,22.2855,114.1577,Mini Hotel Central
1047,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
1055,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
1058,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
1059,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
1061,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1062,Gwadar,PK,82.17,clear sky,25.1216,62.3254,Sadaf Resort
1065,Hithadhoo,MV,83.84,broken clouds,-0.6,73.0833,Scoop Guest House
1067,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
1068,Fare,PF,82.9,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
1075,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
1079,Ipixuna,BR,77.0,light rain,-1.7625,-48.8043,Casa da Oscarina
1087,Cairns,AU,84.99,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
1092,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1093,Daru,PG,79.02,moderate rain,-9.0763,143.2092,Daru Lodge
1098,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1099,Solano,US,80.6,clear sky,38.2333,-121.9511,Travis AFB FamCamp
1101,Namatanai,PG,86.85,scattered clouds,-3.6667,152.4333,Namatanai Hotel
1103,Hilo,US,78.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
1105,Bengkulu,ID,83.26,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
1107,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
1111,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
1119,Bambous Virieux,MU,75.2,light rain,-20.3428,57.7575,Casa Tia Villa
1121,Laguna,US,78.8,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
1126,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
1130,Coolum Beach,AU,75.99,broken clouds,-26.5333,153.1,Palmer Coolum Resort
1132,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
1135,Manta,EC,78.8,few clouds,-0.95,-80.7333,Balandra Hotel
1137,Bengkulu,ID,83.26,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
1144,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1146,Butaritari,KI,82.27,light rain,3.0707,172.7902,Isles Sunset Lodge
1157,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1163,Cabo San Lucas,MX,80.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1166,Faanui,PF,82.8,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
1174,Poum,NC,78.12,moderate rain,-20.2333,164.0167,Gîte kajeon
1178,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1181,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
1184,Guadalupe Victoria,MX,84.2,scattered clouds,32.2869,-115.105,Hotel Dial
1191,Itoman,JP,77.0,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
1198,Broken Hill,AU,82.4,clear sky,-31.95,141.4333,Royal Exchange Hotel
1200,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1206,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
1207,Vaini,TO,86.0,light rain,-21.2,-175.2,Keleti Beach Resort
1208,Mumford,GH,79.48,clear sky,5.2618,-0.759,Spanish Villa
1210,Shaowu,CN,76.57,overcast clouds,27.3409,117.4831,Yijie Express Hotel
1216,Angoche,MZ,75.92,broken clouds,-16.2325,39.9086,Guest House HESADA
1223,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1224,Georgetown,MY,89.01,few clouds,5.4112,100.3354,Cititel Penang
1225,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1231,Isangel,VU,84.18,light rain,-19.55,169.2667,Volcano Sea View Tree House
1233,Atuona,PF,81.25,broken clouds,-9.8,-139.0333,Villa Enata
1234,Victoria,HK,84.0,clear sky,22.2855,114.1577,Mini Hotel Central
1235,Gevrai,IN,82.47,few clouds,19.2667,75.75,Jaybhaye
1238,Kieta,PG,86.04,few clouds,-6.2167,155.6333,Uruna Bay Retreat
1242,Kavieng,PG,84.96,light rain,-2.5744,150.7967,Nusa Island Retreat
1251,Belmonte,BR,80.6,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
